mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,12,1041,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.1296,3.2106,2.7258,2.0438,1.555,,8450,3.89
capacity,,,,holdout,12,1043,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,2.2765,3.2574,2.7258,2.0438,1.555,,8450,3.88
capacity,,,,holdout,12,1045,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.6084,7.5574,2.7258,2.0438,1.555,,8450,3.89
capacity,,,,holdout,12,1047,headon,vfield,f10d62c73d,ok,1,0,0,1,0,0,0.8988,8.6736,2.7258,2.0438,1.555,-26.39,8450,3.88
capacity,,,,holdout,12,1049,headon,vfield,f10d62c73d,ok,1,0,0,1,0,0,0.518,4.4672,2.7258,2.0438,1.555,-18.65,8450,3.89
capacity,,,,holdout,12,1051,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.3452,10.3629,2.7258,2.0438,1.555,,8450,3.92
capacity,,,,holdout,12,1053,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.9069,7.936,2.7258,2.0438,1.555,,8450,3.89
capacity,,,,holdout,12,1055,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,3.7569,7.7591,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1057,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,2.6195,6.0421,2.7258,2.0438,1.555,,8450,3.89
capacity,,,,holdout,12,1059,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,3.8814,7.8986,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1061,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.2815,11.6805,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1063,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,2.825,12.478,2.7258,2.0438,1.555,,8450,4.14
capacity,,,,holdout,12,1065,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.8155,11.9004,2.7258,2.0438,1.555,,8450,4.24
capacity,,,,holdout,12,1067,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.6162,6.2436,2.7258,2.0438,1.555,,8450,3.92
capacity,,,,holdout,12,1069,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.6789,10.0779,2.7258,2.0438,1.555,,8450,3.88
